id,type,new,alive,request,resolve,url,subdomain,level,cname,content,public,port,status,reason,title,banner,times,ttl,resolver,module,source,elapse,find,brute,valid
9,A,1,1,1,,http://www.huaruntong.cn,www.huaruntong.cn,1,,218.13.53.60,1,80,200,OK,,nginx,,,,Certificate,CensysAPIQuery,2.1,0,,
10,A,1,1,1,,http://cloud.huaruntong.cn,cloud.huaruntong.cn,1,,112.91.225.4,1,80,200,OK,华润通首页,nginx,,,,Dataset,XimcxQuery,2.0,0,,
12,A,1,1,1,,http://merchant.huaruntong.cn,merchant.huaruntong.cn,1,,218.13.53.59,1,80,200,OK,商户中心,nginx,,,,Dataset,BufferOverQuery,3.2,0,,
13,A,1,1,1,,http://sit99.huaruntong.cn,sit99.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,华润通首页,nginx/1.16.1,,,,Dataset,BufferOverQuery,3.2,0,,
14,A,1,1,1,,http://wx.huaruntong.cn,wx.huaruntong.cn,1,,218.13.53.56,1,80,200,OK,华润通,nginx,,,,Dataset,IP138Query,3.2,0,,
17,A,1,1,1,,http://pay.huaruntong.cn,pay.huaruntong.cn,1,,218.13.53.58,1,80,200,OK,华润通首页,nginx,,,,Dataset,IP138Query,3.2,0,,
18,A,1,1,1,,http://uat99.huaruntong.cn,uat99.huaruntong.cn,1,,218.13.53.60,1,80,200,OK,华润通首页,nginx,,,,Dataset,IP138Query,3.2,0,,
19,A,1,1,1,,http://mid.huaruntong.cn,mid.huaruntong.cn,1,,112.91.225.4,1,80,404,Not Found,Not Found,nginx,,,,Dataset,IP138Query,3.2,0,,
22,A,1,1,1,,http://app.huaruntong.cn,app.huaruntong.cn,1,,112.91.225.4,1,80,404,Not Found,404 Not Found,nginx,,,,Intelligence,AlienVaultQuery,3.3,0,,
23,A,1,1,1,,http://tableau.huaruntong.cn,tableau.huaruntong.cn,1,,218.13.53.59,1,80,403,Forbidden,403 Forbidden,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
24,A,1,1,1,,http://wx-static.huaruntong.cn,wx-static.huaruntong.cn,1,,218.13.53.56,1,80,403,Forbidden,403 Forbidden,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
26,A,1,1,1,,http://sit99image.huaruntong.cn,sit99image.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
28,A,1,1,1,,http://uat99activity.huaruntong.cn,uat99activity.huaruntong.cn,1,,"121.51.184.40,121.51.128.100,121.51.184.44,121.51.184.64,121.51.163.19,121.51.167.27",1,80,403,Forbidden,403 Forbidden,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
31,A,1,1,1,,http://sit99wxapp.huaruntong.cn,sit99wxapp.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
32,A,1,1,1,,http://sit99login.huaruntong.cn,sit99login.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
33,A,1,1,1,,http://open.huaruntong.cn,open.huaruntong.cn,1,,218.13.53.55,1,80,200,OK,Welcome to nginx!,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
34,A,1,1,1,,http://sit99wx.huaruntong.cn,sit99wx.huaruntong.cn,1,,112.91.224.129,1,80,200,OK,华润通,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
37,A,1,1,1,,http://oauth2.huaruntong.cn,oauth2.huaruntong.cn,1,,218.13.53.59,1,80,200,OK,,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
43,A,1,1,1,,http://sit99activity.huaruntong.cn,sit99activity.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
47,A,1,1,1,,http://sit99pmt.huaruntong.cn,sit99pmt.huaruntong.cn,1,,218.13.52.129,1,80,403,Forbidden,403 Forbidden,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
49,A,1,1,1,,http://sit99da.huaruntong.cn,sit99da.huaruntong.cn,1,,218.13.52.129,1,80,403,Forbidden,403 Forbidden,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
53,A,1,1,1,,http://sit99wx-manager.huaruntong.cn,sit99wx-manager.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,登录,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
54,A,1,1,1,,http://lc.huaruntong.cn,lc.huaruntong.cn,1,,"121.51.128.100,121.51.184.44,121.51.184.64,121.51.163.19,121.51.167.27,121.51.184.40",1,80,200,OK,华润通财富,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
55,A,1,1,1,,http://image3.huaruntong.cn,image3.huaruntong.cn,1,,218.13.53.55,1,80,200,OK,Welcome to nginx!,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
57,A,1,1,1,,http://wxapp.huaruntong.cn,wxapp.huaruntong.cn,1,,218.13.53.56,1,80,200,OK,华润通首页,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
61,A,1,1,1,,http://weapp.huaruntong.cn,weapp.huaruntong.cn,1,,218.13.53.56,1,80,200,OK,华润应用,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
62,A,1,1,1,,http://sit99payment.huaruntong.cn,sit99payment.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
63,A,1,1,1,,http://wx-manager.huaruntong.cn,wx-manager.huaruntong.cn,1,,218.13.53.56,1,80,200,OK,华润通首页,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
68,A,1,1,1,,http://da.huaruntong.cn,da.huaruntong.cn,1,,218.13.53.136,1,80,200,OK,Welcome to nginx!,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
69,A,1,1,1,,http://sit99wx-static.huaruntong.cn,sit99wx-static.huaruntong.cn,1,,218.13.52.129,1,80,403,Forbidden,403 Forbidden,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
70,A,1,1,1,,http://payment.huaruntong.cn,payment.huaruntong.cn,1,,"121.51.184.64,121.51.163.19,121.51.167.27,121.51.184.40,121.51.128.100,121.51.184.44",1,80,200,OK,Welcome to nginx!,nws_ocmid_hy,,,,Dataset,DNSdbAPIQuery,3.4,0,,
72,A,1,1,1,,http://image2.huaruntong.cn,image2.huaruntong.cn,1,,"121.51.184.44,121.51.128.100,121.51.167.27,121.51.184.64,121.51.184.40,121.51.163.19",1,80,200,OK,Welcome to nginx!,NWS_TCloud_S1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
77,A,1,1,1,,http://sit99jr.huaruntong.cn,sit99jr.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
78,A,1,1,1,,http://sit99-lc.huaruntong.cn,sit99-lc.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,华润通财富,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
79,A,1,1,1,,http://activity.huaruntong.cn,activity.huaruntong.cn,1,,"121.51.184.40,121.51.163.19,121.51.184.44,121.51.128.100,121.51.167.27,121.51.184.64",1,80,403,Forbidden,403 Forbidden,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
80,A,1,1,1,,http://jr.huaruntong.cn,jr.huaruntong.cn,1,,"121.51.163.19,121.51.167.27,121.51.184.40,121.51.128.100,121.51.184.44,121.51.184.64",1,80,200,OK,Welcome to nginx!,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
84,A,1,1,1,,http://sit99oauth2.huaruntong.cn,sit99oauth2.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Intelligence,VirusTotalQuery,3.9,0,,
85,A,1,1,1,,http://sit99srv.huaruntong.cn,sit99srv.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Intelligence,VirusTotalQuery,3.9,0,,
86,A,1,1,1,,http://bd.huaruntong.cn,bd.huaruntong.cn,1,,218.13.53.57,1,80,200,OK,Welcome to nginx!,nginx,,,,Query,QianXunQuery,5.0,0,,
87,A,1,1,1,,http://lkl.huaruntong.cn,lkl.huaruntong.cn,1,,218.13.53.55,1,80,200,OK,Welcome to OpenResty!,nginx,,,,Query,QianXunQuery,5.0,0,,
90,A,1,1,1,,http://trans.huaruntong.cn,trans.huaruntong.cn,1,,218.13.53.59,1,80,200,OK,华润通首页,nginx,,,,Query,QianXunQuery,5.0,0,,
91,A,1,1,1,,http://bdopenapi.huaruntong.cn,bdopenapi.huaruntong.cn,1,,218.13.53.55,1,80,403,Forbidden,403 Forbidden,nginx,,,,Query,QianXunQuery,5.0,0,,
93,A,1,1,1,,http://dr99cloud.huaruntong.cn,dr99cloud.huaruntong.cn,1,,112.95.150.3,1,80,200,OK,Welcome to nginx!,nginx,,,,Query,QianXunQuery,5.0,0,,
41224,A,1,1,1,1,http://callcenter.huaruntong.cn,callcenter.huaruntong.cn,1,callcenter.huaruntong.cn,218.13.53.59,1,80,200,OK,华润通首页,nginx,8,600,114.114.115.115:53,Brute,Brute,426.5,0,806451,26
45435,A,1,1,1,1,http://msg.huaruntong.cn,msg.huaruntong.cn,1,msg.huaruntong.cn,218.13.53.59,1,80,200,OK,Welcome to nginx!,nginx,8,600,114.114.115.115:53,Brute,Brute,426.5,0,806451,26
47718,A,1,1,1,,http://mmd.huaruntong.cn,mmd.huaruntong.cn,1,,218.13.53.59,1,80,200,OK,Welcome to nginx!,nginx,,,,Brute,Brute,426.5,0,806451,
62272,A,1,1,1,1,http://loyalty.huaruntong.cn,loyalty.huaruntong.cn,1,loyalty.huaruntong.cn,218.13.53.59,1,80,403,Forbidden,403 Forbidden,nginx,8,600,114.114.115.115:53,Brute,Brute,426.5,0,806451,26
